Fecha,CCAA,Tipo_Producto,Producto_slug,Consumo_Tm
2023-02,Canarias,OTROS QUEROSENOS,OtrosQueroseno,6
2023-02,Canarias,QUEROSENO AVIACIÓN,QuerosenoAviacion,95555
2023-02,Cantabria,BIODIESEL,Biodiesel,0
2023-02,Cantabria,BIOETANOL,Bioetanol,0
2023-02,Cantabria,FUELÓLEO  BIA,Fueloleo_BIA,485
2023-02,Cantabria,GLP,GLP,2983
2023-02,Cantabria,GASÓLEO A,GasoleoA,22830
2023-02,Cantabria,GASÓLEO B,GasoleoB,5808
2023-02,Cantabria,GASÓLEO C,GasoleoC,361
2023-02,Cantabria,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,4946
2023-02,Cantabria,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,214
2023-02,Cantabria,OTRAS GASOLINAS,OtrasGasolinas,1
2023-02,Cantabria,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-02,Cantabria,OTROS GASOLEOS,OtrosGasoleos,382
2023-02,Cantabria,OTROS QUEROSENOS,OtrosQueroseno,0
2023-02,Cantabria,QUEROSENO AVIACIÓN,QuerosenoAviacion,664
2023-02,Castilla - La Mancha,BIODIESEL,Biodiesel,0
2023-02,Castilla - La Mancha,BIOETANOL,Bioetanol,0
2023-02,Castilla - La Mancha,FUELÓLEO  BIA,Fueloleo_BIA,405
2023-02,Castilla - La Mancha,GLP,GLP,7808
2023-02,Castilla - La Mancha,GASÓLEO A,GasoleoA,97967
2023-02,Castilla - La Mancha,GASÓLEO B,GasoleoB,48290
2023-02,Castilla - La Mancha,GASÓLEO C,GasoleoC,21221
2023-02,Castilla - La Mancha,GASOLINA  AUTO. S/PB 95 I.O.,Gasolina95,15856
2023-02,Castilla - La Mancha,GASOLINA  AUTO. S/PB 98 I.O.,Gasolina98,544
2023-02,Castilla - La Mancha,OTRAS GASOLINAS,OtrasGasolinas,3
2023-02,Castilla - La Mancha,OTROS FUELÓLEOS,OtrosFueloleos,0
2023-02,Castilla - La Mancha,OTROS GASOLEOS,OtrosGasoleos,0
2023-02,Castilla - La Mancha,OTROS QUEROSENOS,OtrosQueroseno,0
2023-02,Castilla - La Mancha,QUEROSENO AVIACIÓN,QuerosenoAviacion,149
2023-02,Castilla y León,BIODIESEL,Biodiesel,0
2023-02,Castilla y León,BIOETANOL,Bioetanol,0
2023-02,Castilla y León,FUELÓLEO  BIA,Fueloleo_BIA,2820
2023-02,Castilla y León,GLP,GLP,9132
