Grupos ECOICOP	Tipo de dato	Periodo	Total
08 Comunicaciones	Variación de las medias anuales	2010	-0,8
08 Comunicaciones	Variación de las medias anuales	2009	-0,7
08 Comunicaciones	Variación de las medias anuales	2008	0,0
08 Comunicaciones	Variación de las medias anuales	2007	0,2
08 Comunicaciones	Variación de las medias anuales	2006	-1,3
08 Comunicaciones	Variación de las medias anuales	2005	-1,6
08 Comunicaciones	Variación de las medias anuales	2004	-1,0
08 Comunicaciones	Variación de las medias anuales	2003	-2,6
08 Comunicaciones	Variación de las medias anuales	2002	""
09 Ocio y cultura	Media anual	2025	110,845
09 Ocio y cultura	Media anual	2024	109,913
09 Ocio y cultura	Media anual	2023	107,283
09 Ocio y cultura	Media anual	2022	102,798
09 Ocio y cultura	Media anual	2021	100,000
09 Ocio y cultura	Media anual	2020	99,840
09 Ocio y cultura	Media anual	2019	100,453
09 Ocio y cultura	Media anual	2018	100,913
09 Ocio y cultura	Media anual	2017	101,100
09 Ocio y cultura	Media anual	2016	100,032
09 Ocio y cultura	Media anual	2015	100,993
09 Ocio y cultura	Media anual	2014	101,375
09 Ocio y cultura	Media anual	2013	102,769
09 Ocio y cultura	Media anual	2012	102,027
09 Ocio y cultura	Media anual	2011	101,332
09 Ocio y cultura	Media anual	2010	101,421
09 Ocio y cultura	Media anual	2009	102,694
09 Ocio y cultura	Media anual	2008	103,101
09 Ocio y cultura	Media anual	2007	103,233
09 Ocio y cultura	Media anual	2006	103,918
09 Ocio y cultura	Media anual	2005	103,796
09 Ocio y cultura	Media anual	2004	103,977
09 Ocio y cultura	Media anual	2003	103,894
09 Ocio y cultura	Media anual	2002	103,269
09 Ocio y cultura	Variación de las medias anuales	2025	0,8
09 Ocio y cultura	Variación de las medias anuales	2024	2,5
