Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T2	26,56
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T1	20,64
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T4	6,95
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T3	29,20
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T2	34,48
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T1	38,67
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T4	11,20
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T3	12,55
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T2	10,12
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T1	13,16
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T4	12,55
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T3	11,66
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T2	11,22
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T1	12,32
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T4	9,86
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T3	12,45
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T2	13,37
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T1	14,68
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2023T4	10,50
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2023T3	10,70
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2023T2	8,71
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2023T1	10,22
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2022T4	12,18
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2022T3	9,56
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2022T2	8,59
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2022T1	8,32
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2021T4	10,44
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2021T3	8,39
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2021T2	9,70
Ambos sexos	03 Asturias, Principado de	De 55 y más años	2021T1	8,94
Ambos sexos	04 Balears, Illes	Total	2023T4	11,38
Ambos sexos	04 Balears, Illes	Total	2023T3	5,72
Ambos sexos	04 Balears, Illes	Total	2023T2	7,15
Ambos sexos	04 Balears, Illes	Total	2023T1	18,14
Ambos sexos	04 Balears, Illes	Total	2022T4	10,91
Ambos sexos	04 Balears, Illes	Total	2022T3	5,79
Ambos sexos	04 Balears, Illes	Total	2022T2	9,29
Ambos sexos	04 Balears, Illes	Total	2022T1	18,03
Ambos sexos	04 Balears, Illes	Total	2021T4	14,90
Ambos sexos	04 Balears, Illes	Total	2021T3	10,57
Ambos sexos	04 Balears, Illes	Total	2021T2	15,17
Ambos sexos	04 Balears, Illes	Total	2021T1	18,88
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T4	24,10
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T3	10,52
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T2	19,40
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T1	28,23
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T4	23,39
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T3	17,78
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T2	22,91
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T1	32,23
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T4	32,04
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T3	21,37
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T2	43,44
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T1	38,09
Ambos sexos	04 Balears, Illes	25 y más años	2023T4	10,44
Ambos sexos	04 Balears, Illes	25 y más años	2023T3	5,28
Ambos sexos	04 Balears, Illes	25 y más años	2023T2	6,19
Ambos sexos	04 Balears, Illes	25 y más años	2023T1	17,45
Ambos sexos	04 Balears, Illes	25 y más años	2022T4	9,97
Ambos sexos	04 Balears, Illes	25 y más años	2022T3	4,71
Ambos sexos	04 Balears, Illes	25 y más años	2022T2	8,23
Ambos sexos	04 Balears, Illes	25 y más años	2022T1	17,20
Ambos sexos	04 Balears, Illes	25 y más años	2021T4	13,95
Ambos sexos	04 Balears, Illes	25 y más años	2021T3	9,71
Ambos sexos	04 Balears, Illes	25 y más años	2021T2	13,26
Ambos sexos	04 Balears, Illes	25 y más años	2021T1	17,81
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T4	41,62
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T3	15,56
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T2	38,79
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T1	56,19
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T4	30,79
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T3	41,09
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T2	38,07
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T1	55,27
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T4	52,25
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T3	23,36
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T2	57,13
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T1	36,99
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T4	20,10
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T3	8,90
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T2	13,16
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T1	22,79
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T4	21,54
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T3	11,89
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T2	20,51
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T1	28,68
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T4	28,86
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T3	20,84
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T2	40,20
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T1	38,30
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T4	10,58
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T3	5,23
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T2	6,15
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T1	17,26
