Target,Model,Scenario,Fecha,Forecast,Selected_Model_Uses_Scenario_Inputs
Madrid,XGBoost,Mandate_Delayed,2027-03,2575.6,False
Madrid,XGBoost,Mandate_Delayed,2027-04,2571.3,False
Madrid,XGBoost,Mandate_Delayed,2027-05,2619.9,False
Madrid,XGBoost,Mandate_Delayed,2027-06,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2027-07,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2027-08,2731.2,False
Madrid,XGBoost,Mandate_Delayed,2027-09,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2027-10,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2027-11,2733.4,False
Madrid,XGBoost,Mandate_Delayed,2027-12,2733.4,False
Cataluña,Ridge,Neutral,2026-01,7513.9,False
Cataluña,Ridge,Neutral,2026-02,46623.8,False
Cataluña,Ridge,Neutral,2026-03,3269016.4,False
Cataluña,Ridge,Neutral,2026-04,3269016.4,False
Cataluña,Ridge,Neutral,2026-05,3269016.4,False
Cataluña,Ridge,Neutral,2026-06,3269016.4,False
Cataluña,Ridge,Neutral,2026-07,3269016.4,False
Cataluña,Ridge,Neutral,2026-08,3269016.4,False
Cataluña,Ridge,Neutral,2026-09,3269016.4,False
Cataluña,Ridge,Neutral,2026-10,3269016.4,False
Cataluña,Ridge,Neutral,2026-11,3269016.4,False
Cataluña,Ridge,Neutral,2026-12,3269016.4,False
Cataluña,Ridge,Neutral,2027-01,3269016.4,False
Cataluña,Ridge,Neutral,2027-02,3269016.4,False
Cataluña,Ridge,Neutral,2027-03,3269016.4,False
