Fecha,Target,Model,Forecast
2027-02,Cataluña,Ridge,3269016.4
2027-03,Cataluña,Ridge,3269016.4
2027-04,Cataluña,Ridge,3269016.4
2027-05,Cataluña,Ridge,3269016.4
2027-06,Cataluña,Ridge,3269016.4
2027-07,Cataluña,Ridge,3269016.4
2027-08,Cataluña,Ridge,3269016.4
2027-09,Cataluña,Ridge,3269016.4
2027-10,Cataluña,Ridge,3269016.4
2027-11,Cataluña,Ridge,3269016.4
2027-12,Cataluña,Ridge,3269016.4
2026-01,Cataluña,Random Forest,3139.6
2026-02,Cataluña,Random Forest,2956.4
2026-03,Cataluña,Random Forest,2922.3
2026-04,Cataluña,Random Forest,3116.7
2026-05,Cataluña,Random Forest,3179.5
2026-06,Cataluña,Random Forest,3186.3
2026-07,Cataluña,Random Forest,3182.7
2026-08,Cataluña,Random Forest,3172.0
2026-09,Cataluña,Random Forest,2973.4
2026-10,Cataluña,Random Forest,3091.0
2026-11,Cataluña,Random Forest,3157.9
2026-12,Cataluña,Random Forest,3151.1
2027-01,Cataluña,Random Forest,3150.1
2027-02,Cataluña,Random Forest,2962.3
2027-03,Cataluña,Random Forest,2923.8
2027-04,Cataluña,Random Forest,3116.7
2027-05,Cataluña,Random Forest,3179.5
2027-06,Cataluña,Random Forest,3186.3
2027-07,Cataluña,Random Forest,3182.7
2027-08,Cataluña,Random Forest,3172.0
2027-09,Cataluña,Random Forest,2973.4
2027-10,Cataluña,Random Forest,3091.0
2027-11,Cataluña,Random Forest,3157.9
2027-12,Cataluña,Random Forest,3151.1
2026-01,Cataluña,XGBoost,2700.9
2026-02,Cataluña,XGBoost,2626.7
2026-03,Cataluña,XGBoost,2739.7
2026-04,Cataluña,XGBoost,2868.4
2026-05,Cataluña,XGBoost,2876.1
2026-06,Cataluña,XGBoost,2854.6
2026-07,Cataluña,XGBoost,2876.1
2026-08,Cataluña,XGBoost,2876.1
2026-09,Cataluña,XGBoost,2682.9
2026-10,Cataluña,XGBoost,2876.1
2026-11,Cataluña,XGBoost,2876.1
2026-12,Cataluña,XGBoost,2876.1
2027-01,Cataluña,XGBoost,2700.9
2027-02,Cataluña,XGBoost,2626.7
2027-03,Cataluña,XGBoost,2739.7
2027-04,Cataluña,XGBoost,2868.4
2027-05,Cataluña,XGBoost,2876.1
